,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR,STUDIO
3815,Tung Rapongan (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Heterosexual,8,1991,MARVEL
3816,Wyndell Dickinson (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,8,1991,MARVEL
3817,Aaron Cashin (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,1992,MARVEL
3818,Christopher Anderson (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual,8,1992,MARVEL
3819,Crule (Earth-616),Secret Identity,Bad Characters,White Eyes,Orange Hair,Male Characters,Heterosexual,8,1992,MARVEL
3820,Daryl Taylor (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1992,MARVEL
3821,Gregory Belial (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1992,MARVEL
3822,Heike Zemo (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Female Characters,Heterosexual,8,1992,MARVEL
3823,Janice Hollenbeck (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1992,MARVEL
3824,Meat Market (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Heterosexual,8,1992,MARVEL
3825,Solar Wind (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1992,MARVEL
3826,Theodore Davros (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1992,MARVEL
3827,Thomas Pyke (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1992,MARVEL
3828,Czorn Yson (Earth-616),Secret Identity,Good Characters,White Eyes,Bald,Male Characters,Heterosexual,8,1993,MARVEL
3829,Don Rigoletto (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Heterosexual,8,1993,MARVEL
3830,Fast (Sparrow) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1993,MARVEL
3831,Hans Middlestadt (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,8,1993,MARVEL
3832,Henrique Gallante (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,8,1993,MARVEL
3833,Jason (Pantheon) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,1993,MARVEL
3835,Owen Llewelyn (Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,Heterosexual,8,1993,MARVEL
3836,Philip Grant (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1993,MARVEL
3837,Radha Dastoor (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,8,1993,MARVEL
3838,William Clinton (Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Heterosexual,8,1993,MARVEL
3839,Amberson Osborn (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,8,1994,MARVEL
3840,Black Brigade (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1994,MARVEL
3841,Butterfly (Avatars) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1994,MARVEL
3843,Deadbolt (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1994,MARVEL
3844,Dread (Earth-616),Secret Identity,Bad Characters,Green Eyes,White Hair,Male Characters,Heterosexual,8,1994,MARVEL
3845,Gabrielle Greer (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1994,MARVEL
3846,Hywell Griffin (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,8,1994,MARVEL
3848,James Pierce (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1994,MARVEL
3849,Lenz (Earth-616),Secret Identity,Bad Characters,Red Eyes,Green Hair,Male Characters,Heterosexual,8,1994,MARVEL
3850,Marius Boudreaux (Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,1994,MARVEL
3851,Protocol (Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,Heterosexual,8,1994,MARVEL
3852,Rak (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Green Hair,Male Characters,Heterosexual,8,1994,MARVEL
3853,Tantalus (Deviant) (Earth-616),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Heterosexual,8,1994,MARVEL
3854,Arkadine Arcadius (Earth-616),No Dual Identity,Bad Characters,Yellow Eyes,White Hair,Male Characters,Heterosexual,8,1995,MARVEL
3855,Ator (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,1995,MARVEL
3857,Jason Tso (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1995,MARVEL
3858,Joseph Wade (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,1995,MARVEL
3859,Michele Scicluna (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual,8,1995,MARVEL
3860,Paula Harris (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,8,1995,MARVEL
3861,Peter Parker (Jack) (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Bald,Male Characters,Heterosexual,8,1995,MARVEL
3863,River Verys (Earth-616),Public Identity,Bad Characters,White Eyes,Grey Hair,Male Characters,Heterosexual,8,1995,MARVEL
3864,Sergio Torres (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,8,1995,MARVEL
3865,Spook (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual,8,1995,MARVEL
3866,Agatha Harkness (Heroes Reborn) (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1996,MARVEL
3869,Harper (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Heterosexual,8,1996,MARVEL
3870,Johann Shmidt (Heroes Reborn) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1996,MARVEL
3871,Josephine Pulaski (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,Heterosexual,8,1996,MARVEL
3872,Kamal el Alaoui (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,8,1996,MARVEL
3873,Norrin Radd (Heroes Reborn) (Earth-616),Secret Identity,Good Characters,Silver Eyes,No Hair,Male Characters,Heterosexual,8,1996,MARVEL
3874,Romany Wisdom (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1996,MARVEL
3876,Ashema (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1997,MARVEL
3877,Homer Un (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1997,MARVEL
3878,Lord Churchill (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1997,MARVEL
3880,Mary Alice Anders (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1997,MARVEL
3881,Max Pressman (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1997,MARVEL
3882,Meiko Yin (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1997,MARVEL
3883,Naomi Kale (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,1997,MARVEL
3884,Nikolai Vronsky (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual,8,1997,MARVEL
3885,Scrier (Cosmic Being) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1997,MARVEL
3887,Cinder Fontatine (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,8,1998,MARVEL
3889,Vise (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,Heterosexual,8,1998,MARVEL
3890,Connie Ferrari (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,8,1999,MARVEL
3892,Lord Templar (Tremont) (Earth-616),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Heterosexual,8,1999,MARVEL
3893,Olisa Kabaki (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,8,1999,MARVEL
3894,Psimon (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual,8,1999,MARVEL
3895,Tokkots (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,1999,MARVEL
3896,Venkat Katregadda (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,8,1999,MARVEL
3897,William Kimpton (Earth-616),Secret Identity,Good Characters,Green Eyes,Bald,Male Characters,Heterosexual,8,1999,MARVEL
3899,Lan (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2000,MARVEL
3900,Nathaniel Bumpo (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,8,2000,MARVEL
3901,Nuro (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,Heterosexual,8,2000,MARVEL
3902,Revenant (Earth-616),Secret Identity,Bad Characters,Black Eyes,Bald,Female Characters,Heterosexual,8,2000,MARVEL
3903,Spunje (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,Heterosexual,8,2000,MARVEL
3904,Tarn (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2000,MARVEL
3905,Timothy Carney (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,2000,MARVEL
3906,Axel Cluney (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,8,2001,MARVEL
3907,Jennifer Hardesty (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,8,2001,MARVEL
3908,Marvin Hoffman (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2001,MARVEL
3909,Michael Asher (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2001,MARVEL
3910,Orwell (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual,8,2001,MARVEL
3911,Robert Tanaka (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2001,MARVEL
3913,"Samuel Silke, Jr. (Earth-616)",Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Heterosexual,8,2001,MARVEL
3914,Eliza Robbins (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,2002,MARVEL
3916,Leash (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,2002,MARVEL
3917,Yith (Earth-616),Secret Identity,Bad Characters,Black Eyes,Auburn Hair,Female Characters,Heterosexual,8,2002,MARVEL
3918,Ashleigh Nichols (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Blond Hair,Female Characters,Heterosexual,8,2003,MARVEL
3919,Digger (Vegas Thirteen) (Earth-616),Public Identity,Bad Characters,Pink Eyes,No Hair,Male Characters,Heterosexual,8,2003,MARVEL
3920,Josiah al hajj Saddiq (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,8,2003,MARVEL
3921,Zarina (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,2003,MARVEL
3922,Bobo (Chimpanzee) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,2004,MARVEL
3923,Hack (Mutant) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2004,MARVEL
3924,Lucia von Bardas (Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Heterosexual,8,2004,MARVEL
3925,Luna DePaula (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Homosexual Characters,8,2004,MARVEL
3926,Shen Xorn (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2004,MARVEL
3927,Augustine du Lac (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2005,MARVEL
3928,Dondi Reese (Earth-616),Public Identity,Neutral Characters,Grey Eyes,White Hair,Female Characters,Heterosexual,8,2005,MARVEL
3929,Edgar Lascombe (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,2005,MARVEL
3930,Igor Stancheck (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Bald,Male Characters,Heterosexual,8,2005,MARVEL
3931,Laurie Lynton (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,8,2005,MARVEL
3933,Zander Rice (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,2005,MARVEL
3934,Aegis (Earth-616),Secret Identity,Neutral Characters,White Eyes,No Hair,Female Characters,Heterosexual,8,2006,MARVEL
3935,Black Cloak (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2006,MARVEL
3936,Hypernova (Earth-616),Secret Identity,Bad Characters,White Eyes,Red Hair,Female Characters,Heterosexual,8,2006,MARVEL
3937,Jack Dio (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2006,MARVEL
3938,Perro (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2006,MARVEL
3939,Serafina (Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Female Characters,Heterosexual,8,2006,MARVEL
3940,Tenebrous (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Unknown,Heterosexual,8,2006,MARVEL
3941,Tracy Skylark (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,8,2006,MARVEL
3942,Veronica King (Earth-616),No Dual Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Heterosexual,8,2006,MARVEL
3943,Warshot (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2006,MARVEL
3944,Anthony Stark (Onslaught Reborn) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2007,MARVEL
3947,Maureen Raven (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,8,2007,MARVEL
3948,William Wagner (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,2007,MARVEL
3949,Cronus (Earth-616),Public Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,Heterosexual,8,2008,MARVEL
3951,Evelyn Necker (Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,8,2008,MARVEL
3952,Fredzilla (Fred) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,2008,MARVEL
3953,Henry McCoy (Skrull) (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Heterosexual,8,2008,MARVEL
3954,Kram (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2008,MARVEL
3955,Lenore Wilkinson (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,8,2008,MARVEL
3956,Malik Tarcel (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2008,MARVEL
3957,Physique (Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Female Characters,Heterosexual,8,2008,MARVEL
3958,Piper Dali (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Black Hair,Female Characters,Heterosexual,8,2008,MARVEL
3959,Plokta (Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,Heterosexual,8,2008,MARVEL
3960,Sasha Roerich (Earth-616),Secret Identity,Neutral Characters,White Eyes,Auburn Hair,Female Characters,Heterosexual,8,2008,MARVEL
3961,Wasabi-No Ginger (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,8,2008,MARVEL
3962,Amity Hunter (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,8,2009,MARVEL
3963,Clown (Franklin) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2009,MARVEL
3964,Tattooed Man (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual,8,2009,MARVEL
3965,Verre (Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,8,2009,MARVEL
3966,Zawavari (Earth-616),Public Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,Heterosexual,8,2009,MARVEL
3967,Zodiac (Dark Reign) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,2009,MARVEL
3968,Alyssa (Earth-616),Secret Identity,Neutral Characters,Red Eyes,Blond Hair,Female Characters,Heterosexual,8,2010,MARVEL
3969,Danielle Blunt (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,8,2010,MARVEL
3970,Doctor Noc (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual,8,2010,MARVEL
3971,Fire Knives (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Red Hair,Female Characters,Heterosexual,8,2010,MARVEL
3972,Jason Pierce (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,Heterosexual,8,2010,MARVEL
3973,Jian (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2010,MARVEL
3974,Kal Blackbane (Earth-616),Secret Identity,Good Characters,White Eyes,Black Hair,Male Characters,Heterosexual,8,2010,MARVEL
3975,Lady Gorgon (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,8,2010,MARVEL
3976,Logomancer (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual,8,2010,MARVEL
3977,Mina (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,White Hair,Female Characters,Heterosexual,8,2010,MARVEL
3978,Robert Hellsgaard (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,8,2010,MARVEL
3979,Starbolt II (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Unknown,Heterosexual,8,2010,MARVEL
3980,Black Fog (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,8,2011,MARVEL
3981,Mako (Young Masters) (Earth-616),Secret Identity,Bad Characters,Black Eyes,No Hair,Male Characters,Heterosexual,8,2011,MARVEL
3982,William Rolfson (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Heterosexual,8,2011,MARVEL
3983,Firebrand (Amanda) (Earth-616),Secret Identity,Bad Characters,Grey Eyes,Red Hair,Female Characters,Heterosexual,8,2012,MARVEL
3985,Mister Gor (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2012,MARVEL
3986,Xanto Starblood (Earth-616),Secret Identity,Bad Characters,Purple Eyes,No Hair,Male Characters,Heterosexual,8,2012,MARVEL
3987,Donald Lamaze (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,8,2013,MARVEL
3988,Ginny Guzman (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,8,2013,MARVEL
3989,Mr. Raven (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,8,2013,MARVEL
3997,Dakor (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,7,1940,MARVEL
3998,Folma (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1940,MARVEL
3999,John Wilson (Golden Age) (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,Heterosexual,7,1940,MARVEL
4000,Monako (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Heterosexual,7,1940,MARVEL
4001,Robert Strong (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual,7,1940,MARVEL
4002,General Haywood (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual,7,1941,MARVEL
4003,Jerry Carstairs (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1941,MARVEL
4004,John Liberty (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,7,1941,MARVEL
4005,Laslo Pevely (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Heterosexual,7,1941,MARVEL
4006,William Bryon (Earth-616),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Heterosexual,7,1941,MARVEL
4007,Heinrich Himmler (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1943,MARVEL
4008,Officer Ryan (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual,7,1943,MARVEL
4009,Dorothy Walker (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Unknown,Heterosexual,7,1944,MARVEL
4010,Future Man (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1946,MARVEL
4011,Madame Death (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,7,1946,MARVEL
4012,Slim Smith (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,7,1948,MARVEL
4013,Alkali Ike (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Heterosexual,7,1949,MARVEL
4014,Jenny (Donkey) (Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,Heterosexual,7,1949,MARVEL
4015,Azrael (Earth-616),Secret Identity,Bad Characters,Variable Eyes,Variable Hair,Male Characters,Heterosexual,7,1951,MARVEL
4016,Happy Hicks (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1951,MARVEL
4017,Nan Macklin (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,7,1951,MARVEL
4018,William Bonney (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Black Hair,Male Characters,Heterosexual,7,1951,MARVEL
4019,Yamakayaka (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1953,MARVEL
4020,Lalei (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,7,1954,MARVEL
4021,Ben Yarby (Shotgun City) (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,7,1956,MARVEL
4022,Shzzzllzzzthzz (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1961,MARVEL
4023,Kurrgo (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Grey Hair,Male Characters,Heterosexual,7,1962,MARVEL
4025,Karl Kort (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,7,1963,MARVEL
4027,Molyb (Earth-616),Secret Identity,Bad Characters,Black Eyes,No Hair,Male Characters,Heterosexual,7,1963,MARVEL
4028,Orson Kasloff (Earth-616),Secret Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,Heterosexual,7,1963,MARVEL
4029,Pearla (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,Heterosexual,7,1963,MARVEL
4030,Reynard Slinker (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Heterosexual,7,1963,MARVEL
4032,Gregory Gideon (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Heterosexual,7,1965,MARVEL
4033,Jacques Dernier (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,7,1965,MARVEL
4034,Laufey (Earth-616),No Dual Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Heterosexual,7,1965,MARVEL
4035,Precious (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,Heterosexual,7,1965,MARVEL
4036,Stephanie De La Spiroza (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Heterosexual,7,1965,MARVEL
4037,Doctor Yen (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1966,MARVEL
4038,General Chen (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1966,MARVEL
4039,Ilsa Koenig (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,7,1966,MARVEL
4040,Lepard (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1966,MARVEL
4041,Ricardo Jones (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Heterosexual,7,1966,MARVEL
4042,Fidel Castro (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1967,MARVEL
4044,Android Man (Earth-616),Secret Identity,Bad Characters,Red Eyes,Green Hair,Male Characters,Heterosexual,7,1968,MARVEL
4045,Man-Monster (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1968,MARVEL
4046,Max Eisenhardt (Machinesmith Robot) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,7,1968,MARVEL
4047,Monster of Badoon (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Unknown,Heterosexual,7,1968,MARVEL
